"Name";"Season";"Club";"Position";"Apps";"Minutes Played";"Distance Run (km)";"Player of the Match";"Goals";"Assists";"xG";"Shots on Target";"Shots";"Penalties Taken";"Penalties Scored";"Successful Passes";"Attempted Passes";"Pass%";"Key Passes";"Successful Crosses";"Attempted Crosses";"Cross%";"Chances Created";"Successful Headers";"Attempted Headers";"Header%";"Key Headers";"Dribbles";"Tackles Won";"Attempted Tackles";"Tackle%";"Key Tackles";"Interceptions";"Clearances";"Mistakes Leading to Goals";"Yellow Cards";"Red Cards";"Fouls";"Fouls Against";"Offsides";"Average Rating";"Acc";"Aer";"Agg";"Agi";"Ant";"Bal";"Bra";"Cmd";"Com";"Cmp";"Cnt";"Cor";"Cro";"Dec";"Det";"Dri";"Ecc";"Fin";"Fir";"Fla";"Fre";"Han";"Hea";"Jum";"Kic";"Ldr";"Lon";"L Th";"Mar";"Nat";"OtB";"1v1";"Pac";"Pas";"Pen";"Pos";"Pun";"Ref";"TRO";"Sta";"Str";"Tck";"Tea";"Tec";"Thr";"Vis";"Wor"
"Deedee Yoker";"12.0";"Red Star Laos";"D (RL), WB (L)";14;1236;199,6;0;2;1;1,43;7;17;0;0;814;910;1254,49;42;27;65;706,36;12;46;84;783,17;2;63;32;38;1090;3;46;29;2;3;0;21;5;7;7,35;18;5;5;16;13;13;7,57;5;5;10;13;5;15;16;10;15;5;13;15;13;5;5;5;5;5;5;8;5;13;20;10;5;18;10;5;16;5;5;5;20;10;13;10;13;5;13;13
"Deedee Yoker";"2.0";"Athênai F.C.";"D/WB (L)";14;1260;197,4;0;0;5;0,28;1;3;0;0;564;639;1238,18;22;25;145;212,99;8;52;88;828,92;0;42;16;20;683,34;2;39;53;0;6;0;29;43;9;6,97;15;5;5;12;10;12;8;5;5;8;8;5;12,64;10;10;13;5;9,36;9,79;10;5;5;5;5;5;5;5,71;5;8;20;14;5;16;13;5;10;5;5;5;20;10;10;10,14;12,86;5;10;13
"Deedee Yoker";"3.0";"Athênai F.C.";"D/WB (L)";16;1440;220,1;3;1;2;0,57;4;7;0;0;620;706;1392,36;42;49;242;315,66;7;59;97;960,5;2;47;24;28;966,67;1;45;53;1;4;0;26;38;6;7,08;15;5;5;12;11;12;8;5;5;10;11;9,75;13,56;12,5;10;14;5;13;13;13;5;5;5;5;5;5;7;5;9;20;14;5;16;13;5;11,69;5;5;5;20;10;10;12;14;5;10,25;13
"Deedee Yoker";"4.0";"Athênai F.C.";"D/WB (L)";20;1800;291,1;5;0;8;0,2;3;4;0;0;708;829;1712;82;106;471;446,97;17;78;111;1385,35;7;93;47;59;1526,67;3;89;63;1;2;0;18;23;5;7,56;18;5;5;12,55;11;12,55;8;5;5;10;11;13,4;14,2;14;10;14;5;13;13;13;5;5;5;5;5;5;7;5;12,55;20;14;5;16,7;13;5;13;5;5;5;20;10;10;12,55;14;5;13;13
"Deedee Yoker";"5.0";"Athênai F.C.";"D/WB (L)";5;430;68,8;0;0;1;0,45;1;4;0;0;145;159;452,18;9;13;72;93,3;2;18;28;330,01;0;17;13;15;441,67;1;16;16;0;1;0;8;4;0;6,9;19;5;5;13;11;13;8;5;5;10;11;15;15;14;10;14;5;13;13;13;5;5;5;5;5;5;7;5;13;20;14;5;18;13;5;13;5;5;5;20;10;10;13;14;5;13;13
"Deedee Yoker";"5.0";"Athênai F.C.";"D/WB/M (L)";9;810;134,9;3;0;4;0,13;1;2;0;0;366;406;811,48;42;48;165;261,93;4;41;61;602,85;1;34;24;28;633,33;0;51;25;0;4;0;14;8;0;7,86;20;5;5;13;11;13;8;5;5;13;11;15;15,33;14;10;14;5;13;13;13;5;5;5;5;5;5;7;5;13;20;14;5;19;13;5;13;5;5;5;20;10;10;14;14;5;13;13
"Deedee Yoker";"6.0";"Athênai F.C.";"D/WB/M (L)";14;1260;217,4;2;0;4;0,33;3;5;0;0;571;639;1252,67;86;88;310;377,88;11;55;82;857,65;0;39;10;11;600;2;61;46;0;0;0;6;6;5;7,36;20;5;5;13;11;13;8;5;5;13;11;15;16;15,43;10;14;5;13;13;13;5;5;5;5;5;5;10;5;13;20;14;5;19;15;5;13;5;5;5;20;10;14,29;16;14;5;13;13,43
"Deedee Yoker";"7.0";"Athênai F.C.";"D/WB (L)";14;1260;209,8;4;0;7;0,38;2;6;0;0;516;593;1211,58;84;97;378;350,26;15;54;90;856,21;0;63;17;20;780;1;57;39;0;0;0;10;12;8;7,88;20;5;5;13;11;13;8;5;5;13;11;15;16;16;10;14;5;13;13;13;5;5;5;5;5;5;10;5;13;20;14;5;19;15;5;13;5;5;5;20;10;15;16;14;5;13;15
"Deedee Yoker";"8.0";"Athênai F.C.";"D/WB/M (L)";14;1260;212,3;4;0;6;0,06;1;2;0;0;638;725;1232,03;64;74;277;373,9;13;65;109;922,43;3;54;30;36;1091,68;1;43;49;1;3;0;11;14;3;7,69;20;5;5;13;11;13;8;5;5;13;11;15;16;16;10;14;5;13;13;13;5;5;5;5;5;5;10;5;13;20;14;5;19;15;5;13;5;5;5;20;10;15;16;14;5;13;15
"Deedee Yoker";"9.0";"Athênai F.C.";"D/WB/M (L)";11;990;163;3;0;3;0,04;0;1;0;0;302;351;942,86;49;45;229;190,6;12;39;61;696,1;0;50;19;30;686,67;1;43;39;0;0;0;9;10;6;7,5;20;5;5;13;11;13;8;5;5;13;11;15;16;16;10;14;5;13;13;13;5;5;5;5;5;5;10;5;13;20;14;5;19;15;5;13;5;5;5;20;10;15;16;14;5;13;15
"Deedee Yoker";"9.0";"Reykjavik United";"D/WB/M (L)";4;360;60,2;0;0;0;0,31;0;2;0;0;187;208;360,36;6;8;26;115,83;1;12;24;199,53;2;13;7;8;266,67;0;19;5;0;1;0;5;1;2;7,34;20;5;5;16;12;13;8;5;5;13;12;15;16;16;10;15;5;13;14,5;13;5;5;5;5;5;5;10;5;13;20;14,5;5;19;15;5;14;5;5;5;20;10;15;16;14;5;13;15
"Derrick Prince";"7.0";"A.C. Romana";"WB/AM (L)";2,5;225;34,8;0;0;1;0,22;1;2;0;0;110;130;250,92;4;3;17;40;0;10;16;220;0;2;2;2;100;0;3;2;0;0;0;1;5;1;6,41;8;14;10;7;8;6;9;13;11;8;9;9;7;8;10;8;6;9;9;7;7;11;8;7;9;11;9;10;9;20;8;12;7;11;10;8;6;14;7;20;8;9;10;9;8;9;8
"Dexter Hall";"10.0";"F.C. Kaapstad";"GK";14;1260;78,5;0;0;0;0;0;0;0;0;690;840;1144,3;0;0;0;NA;0;0;0;NA;0;0;0;2;0;0;4;0;0;0;0;0;0;0;7,06;10;16;5;15,79;14,57;10;13;16,79;16;16;14;5;5;15;13,71;5;11,57;5;7;12;5;14;5;10;15;8,93;5;5;5;20;5;15;8,93;11,57;5;15;6;19;8;20;10;5;10;10;13;10;7
"Dexter Hall";"11.0";"F.C. Kaapstad";"GK";14;1260;90,2;2;0;0;0;0;0;0;0;511;609;1171,89;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;3;0;0;0;0;0;0;0;7,17;10;16;5;16;15;10;13;18;16;16;14;5;5;15;15;5;16;5;7;12;5;14;5;10;15;11;5;5;5;20;5;15;10;12;5;15;6;19;8;20;10;5;11;10;13;12;15
"Dexter Hall";"12.0";"Hollywood FC";"GK";14;1260;98,2;0;0;0;0;0;0;0;0;450;650;977,92;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;6;0;0;0;0;0;0;0;7,05;13;16;5;16;18;10;13;18;16;16;14;5;5;15;15;5;16;5;13;12;5;14;5;10;15;11;5;5;5;20;5;15;13;13;5;15;6;19;8;20;10;5;11;11;13;13;15
"Dexter Hall";"6.0";"F.C. Kaapstad";"D (C), DM";7;630;76,8;0;0;0;0;0;0;0;0;459;479;851,71;1;0;0;NA;0;44;62;654,5;5;0;10;14;650;3;24;47;1;2;0;8;2;0;6,76;12;5;10;8;13,56;7;9,33;5;5;9,56;11;5;5;13,22;8,22;7;5;5;8;5;5;5;11,78;10;5;5;5;5;13;20;5;5;12;13;5;13,67;5;5;5;20;14;14;5;8;5;8;8,22
"Dexter Hall";"7.0";"F.C. Kaapstad";"GK";14;1260;79,9;0;0;0;0;0;0;0;0;598;850;979,8;2;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;4;0;2;0;0;0;0;0;7,17;10;16;5;15;10;10;5;15;15;8;11,29;5;5;11,29;5;6,43;5;5;5;5;5;11,29;10;10;15;5;5;5;10,71;20;5;15;5;7;5;15;6;16;7;20;5;11,43;5;5;11,29;5;5
"Dexter Hall";"8.0";"F.C. Kaapstad";"GK";14;1260;81,2;1;0;0;0;0;0;0;0;473;714;874,89;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;7;0;0;0;0;0;0;0;7;10;16;5;15;13;10;10;16;16;15,14;13;5;5;13;5,57;5;5;5;6,29;8,36;5;13;5;10;15;5;5;5;5;20;5;15;5;8;5;15;6;17;7;20;5;5;7,14;5;13;10;5,14
"Dexter Hall";"9.0";"F.C. Kaapstad";"GK";14;1260;93,5;0;0;0;0;0;0;0;0;669;834;1121,32;0;0;0;NA;0;0;0;NA;0;0;0;1;0;0;9;0;2;0;0;0;0;0;7,24;10;16;5;15;13;10;11,29;16;16;16;14;5;5;15;9;5;10;5;7;12;5;14;5;10;15;5;5;5;5;20;5;15;5;10;5;15;6;17,86;8;20;10;5;10;10;13;10;7
"Dexter Mannone";"10.0";"Inter London";"AM (RL), ST (C)";10;900;151,8;0;3;4;1,93;11;26;0;0;564;682;830,13;31;9;27;245;9;74;89;830,02;1;9;9;10;500;1;23;27;0;0;0;6;5;4;7,57;14;5;5;11;12;10;8;5;5;13;9;8;8;11;10;12;5;12;12;13;8;5;5;7;5;8;8;5;5;20;13;5;14;10;13;5;5;5;5;20;8;5;11;12;5;10;11
"Dexter Mannone";"11.0";"Inter London";"AM (RL), ST (C)";14;1260;223,4;0;3;3;3,44;15;42;0;0;537;657;1141,97;14;10;37;459,99;5;96;150;891,41;0;35;8;14;340;1;24;25;0;0;0;16;16;13;6,72;14;5;5;11;12;10;8;5;5;13;9;8;8;11;10;12;5;12;12;13;8;5;5;7;5;8;8;5;5;20;13;5;14;10;13;5;5;5;5;20;8;5;11;12;5;10;11
"Dexter Mannone";"12.0";"Inter London";"AM (RL), ST (C)";14;1260;208,2;0;5;2;6,23;31;52;3;2;578;671;1202,1;32;18;91;267,31;17;84;110;1091,83;0;40;9;11;650;0;19;19;0;0;0;21;19;13;7,21;14;5;5;11;12;10;8;5;5;13;9;8;8;11;10;12;5;12;12;13;8;5;5;7;5;8;8;5;5;20;13;5;14;10;13;5;5;5;5;20;8;5;11;12;5;10;11
"Dexter Mannone";"7.0";"Montréal United";"AM (RL), ST (C)";14;1221;202,5;0;1;2;3,66;18;38;1;1;562;663;1185,27;23;10;23;600;7;76;111;951,32;3;24;27;33;1050,01;0;22;30;0;2;0;10;9;2;6,77;13,21;5;5;10,43;11,07;9,07;6,21;5;5;11;8,71;6,5;6,86;11;8,71;12;5;12;12;11,57;5;5;5,5;6,71;5;5;6;5;5;20;12;5;13,21;8,71;11,5;5;5;5;5;20;7,36;5;11;11;5;8,86;11
"Dexter Mannone";"8.0";"Montréal United";"AM (RL), ST (C)";14;1260;211;1;4;0;6,06;23;56;2;0;523;651;1124,52;15;6;28;258,33;4;90;125;1030,22;3;22;29;40;844,77;0;22;32;1;1;0;10;9;4;6,78;14;5;5;11;11,93;9,93;8;5;5;12,93;9;8;8;11;9,93;12;5;12;12;12,93;7,79;5;5;7;5;7,86;7,93;5;5;20;12,93;5;14;9,93;12,93;5;5;5;5;20;7,93;5;11;11,93;5;10;11
"Dexter Mannone";"9.0";"Montréal United";"AM (RL), ST (C)";8,5;765;111;1;7;1;5,88;25;43;0;0;265;341;709,1;15;4;17;195;5;112;159;618,16;5;10;5;5;300;0;8;17;0;1;0;11;12;8;7,52;14;5;5;11;12;10;8;5;5;13;9;8;8;11;10;12;5;12;12;13;8;5;5;7;5;8;8;5;5;20;13;5;14;10;13;5;5;5;5;20;8;5;11;12;5;10;11
"Dimitar Berbatov";"10.0";"Schwarzwälder FV";"AM (RL), ST (C)";14;1260;213,2;3;8;8;7,88;34;69;0;0;629;759;1162,32;39;8;31;249,99;18;81;149;754,7;2;30;19;25;875;0;21;22;0;0;0;17;11;14;7,8;17;5;7;13;11,86;10,57;7;5;5;10,93;9;5;5;10;10;14;5;13,57;14;10;5;5;13;10;5;9;10;5;5;20;14;5;17;10,86;5;10;5;5;5;20;13;5;10;10,57;5;11,79;11,86
"Dimitar Berbatov";"11.0";"Schwarzwälder FV";"AM (RL), ST (C)";14;1260;219,8;2;8;5;7,7;33;67;0;0;646;754;1196,17;36;16;46;419,99;15;86;136;886,32;1;39;13;16;766,67;0;26;25;1;2;0;28;16;19;7,52;17;5;7;13;12;11;7;5;5;11;9;5;9,64;10,93;10;14;5;14;14;10;5;5;13;10;5;9;10,93;5;5;20;14;5;17;12,36;5;10;5;5;5;20;13;5;10,93;11;5;12;12
"Dimitar Berbatov";"12.0";"F.C. Kaapstad";"AM (RL), ST (C)";14;1260;175,6;1;7;1;7,09;19;51;0;0;594;672;1238,74;23;6;15;300;4;66;216;448,66;0;24;5;9;350;0;8;26;0;0;0;25;14;24;7,15;17;5;7;13;12;11;7;5;5;11;9;5;10;11;10;14;5;17;14;10;5;5;13;10;5;9;11;5;5;20;14;5;17;13;5;10;5;5;5;20;13;5;11;11;5;12;12
"Dimitar Berbatov";"7.0";"Adowa Accra FC";"AM (C), ST (C)";10,5;943;149,7;0;2;2;2,12;10;21;0;0;375;465;879,76;21;6;25;218,57;5;73;151;524,33;3;29;9;14;441,67;0;19;22;0;0;0;1;13;0;7,12;12,36;5;6;8,36;7;10;7;5;5;10;9;5;5;10;5,73;12;5;13,27;13,64;10;5;5;10;10;5;10;10;5;5;20;8,27;5;12,18;10;5;10;5;5;5;20;12;5;10;10;5;10;9,64
"Dimitar Berbatov";"8.0";"Adowa Accra FC";"AM (RL), ST (C)";13,5;1215;194,9;0;2;3;4,4;18;39;0;0;495;568;1203,11;10;1;12;100;5;60;131;640,14;1;18;9;13;475;0;10;24;1;2;0;13;18;8;6,84;15,29;5;7;10;10;10;7;5;5;10;9;5;5;10;10;12,29;5;13;14;10;5;5;12,5;10;5;9;10;5;5;20;12;5;15;9;5;9,29;5;5;5;20;12;5;8,57;10;5;9;9,29
"Dimitar Berbatov";"9.0";"Adowa Accra FC";"AM (RL), ST (C)";12,5;1125;182,4;1;4;2;4,78;12;27;0;0;577;676;1102,87;23;8;33;203,33;4;53;136;504,25;0;32;15;18;483,34;0;14;13;1;0;0;14;15;10;6,96;17;5;7;12,23;10;10;7;5;5;10;9;5;5;10;10;14;5;13;14;10;5;5;13;10;5;9;10;5;5;20;13,23;5;16,23;9;5;10;5;5;5;20;13;5;10;10;5;9;10
"Direct Free-Kick";"10.0";"Inter London";"D/WB (R)";14;1260;200,6;1;0;1;0,8;0;6;0;0;773;869;1248,69;40;26;87;473,39;5;75;103;984,68;5;8;25;27;1216,67;4;42;48;0;0;0;12;11;3;7,24;8;5;8;8;12;8;10;5;5;10;10;5;13;10;10;9;5;5;9;6;16;5;10;10;5;5;5;5;13;20;10;5;12;12;5;12;5;5;5;20;8;11;10;10;5;10;12
"Direct Free-Kick";"4.0";"Montréal United";"DM, M/AM (C)";14,5;1305;205,3;0;0;4;0,9;6;9;0;0;1047;1210;1295,66;27;7;28;323,57;7;19;34;708,33;1;5;9;9;700;0;15;20;2;1;0;7;1;1;6,63;14,73;5;5;15;6,73;5;5;5;5;5;5;5;5;12,2;5;10;5;5;12;5;12;5;5;5;5;5;7;5;5;20;5;5;15;12,2;5;5;5;5;5;20;5,73;10;5;10;5;14,73;5
"Direct Free-Kick";"5.0";"Cairo City";"D/WB (R)";14;1260;197,4;0;0;1;0,49;1;10;0;0;669;767;1212,52;14;8;52;284,29;4;65;87;992,78;1;15;35;40;1276,67;2;40;59;1;3;0;16;5;4;6,69;8;5;8;8;12;8;8;5;5;10;10;5;13;10;8;9;5;5;9;5;15,93;5;10;10;5;5;5;5;13;20;10;5;11;12;5;12;5;5;5;20;8;11;5;10;5;10;10
"Direct Free-Kick";"6.0";"Sydney City";"D (RC), WB (R)";11,5;1035;153;0;0;0;0,35;0;6;0;0;627;708;1128,88;11;2;23;100;2;58;69;1103,93;7;3;19;23;891,67;7;21;67;0;1;0;14;1;1;6,54;8;5;8;8;12;8;9,69;5;5;10;10;5;13;10;9,69;9;5;5;9;5,85;16;5;10;10;5;5;5;5;13;20;10;5;11,85;12;5;12;5;5;5;20;8;11;9,23;10;5;10;11,69
"Direct Free-Kick";"7.0";"Red Star Laos";"D/WB (R)";13,5;1215;189,7;0;1;1;0,52;5;7;0;0;554;655;1156,06;27;25;85;316,95;3;73;111;939,67;5;12;24;32;783,33;7;36;78;2;6;0;16;8;1;6,57;8;5;8;8;12;8;10;5;5;10;10;5;13;10;10;9;5;5;9;6;16;5;10;10;5;5;5;5;13;20;10;5;12;12;5;12;5;5;5;20;8;11;10;10;5;10;12
"Direct Free-Kick";"8.0";"Adowa Accra FC";"D/WB (R)";1;90;13,2;0;0;0;0;0;0;0;0;67;75;89,33;1;0;3;0;0;6;8;75;0;0;4;4;100;0;6;6;0;0;0;2;0;0;6,8;8;5;8;8;12;8;10;5;5;10;10;5;13;10;10;9;5;5;9;6;16;5;10;10;5;5;5;5;13;20;10;5;12;12;5;12;5;5;5;20;8;11;10;10;5;10;12
"Do'Ramey Faso-Latido";"7.0";"A.C. Romana";"M (L)";5;450;71,9;0;2;0;1,83;8;18;0;0;177;212;504,64;8;4;11;116,67;2;20;36;277,46;0;3;4;6;216,67;1;8;9;0;0;0;4;6;2;6,65;12,5;5;7;10,83;10;10;7;5;5;7;10;7;10;10;7;10;5;11,67;10;6;7;5;7;10;5;7;7;7;7;19,83;10;5;12,5;10;7;7;5;5;5;20;10;7;7;11,67;5;10;11,67
"Do'Ramey Faso-Latido";"7.0";"A.C. Romana";"M/AM (L)";2;180;30,7;0;0;1;0,27;2;4;0;0;81;94;172,55;2;0;2;0;0;16;20;154,17;3;7;3;3;200;0;2;10;0;0;0;2;2;0;6,64;13;5;7;11;10;10;7;5;5;7;10;7;10;10;7;10;5;12;10;6;7;5;7;10;5;7;7;7;7;20;10;5;13;10;7;7;5;5;5;20;10;7;7;12;5;10;12
"Do'Ramey Faso-Latido";"8.0";"A.C. Romana";"M/AM (L)";5;450;74,7;0;0;1;1,14;6;12;0;0;174;223;538,12;7;3;9;183,33;1;35;49;454,6;1;12;4;7;166,67;0;9;10;0;1;0;6;3;2;6,58;13;5;7;11;10;10;7;5;5;7;10;7;10;10;7;10;5;12;10;6;7;5;7;10;5;7;7;7;7;20;10;5;13;10;7;7;5;5;5;20;10;7;7;12;5;10;12
"Dobby Roobe";"10.0";"Tokyo S.C.";"GK";14;1260;95,6;0;0;0;0;0;0;0;0;498;608;1161,7;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;3;5;0;3;0;0;0;0;0;7,06;14;14;7;17;16;14,43;6;13;11,71;14;15;5;5;17,71;5;5;5;5;8;5;5;14,71;5;5;9;5;5;5;5;20;5;17;10;10;5;15,43;5;18;10;20;12;5;5;5;8;5;5
"Dobby Roobe";"11.0";"Tokyo S.C.";"GK";14;1260;100,4;0;0;0;0;0;0;0;0;494;683;1022;0;0;0;NA;0;0;0;NA;0;0;1;1;100;0;4;0;0;0;0;0;0;0;7,09;14;14;7;17;16;15;6;13;12;14;15;5;5;18;5;5;5;5;8;5;5;15;5;5;9;5;5;5;5;20;5;17;10;10;5;16;5;18;10;20;12;5;5;5;8;5;5
"Dobby Roobe";"12.0";"Tokyo S.C.";"GK";14;1260;96;0;0;0;0;0;0;0;0;512;619;1158,1;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;5;0;1;0;0;0;0;0;6,98;14;14;7;17;16;15;6;13;12;14;15;5;5;18;5;5;5;5;8;5;5;15;5;5;9;5;5;5;5;20;5;17;10;10;5;16;5;18;10;20;12;5;5;5;8;5;5
"Dobby Roobe";"5.0";"Tokyo S.C.";"AM (RL), ST (C)";14;1260;212,7;0;3;3;3,6;13;28;0;0;622;739;1178,26;25;12;44;375,23;12;69;106;905,21;0;38;18;21;716,67;0;21;28;1;0;0;11;16;6;6,87;15,64;5;5;11;10;10;4,71;5;5;11;5;5;9;12;5;10;5;10;10;6;5;5;5;8;5;5;11;5;5;20;10;5;15,14;11,43;5;9;5;5;5;20;10;7;10;11;5;10;5
"Dobby Roobe";"6.0";"Sydney City";"AM (RL), ST (C)";11,5;1035;167,3;0;1;2;1,57;10;19;0;0;406;522;934,08;18;10;31;408,33;5;48;90;632,23;0;16;15;16;650;1;15;24;0;0;0;13;14;6;6,62;16,83;5;5;11;11;10;5;5;5;11;5;5;9;13;5;10;5;12;12;7;5;5;5;8;5;5;11;5;5;20;12;5;16,83;13;5;9;5;5;5;20;10;7;10;12;5;10;10,83
"Dobby Roobe";"7.0";"Tokyo S.C.";"GK";6;540;41,9;0;0;0;0;0;0;0;0;176;203;519,71;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;1;0;1;0;0;0;0;0;6,83;14;14;7;16;13;9;6;13;11;14;15;5;5;14,33;5;5;5;5;8;5;5;13;5;5;9;5;5;5;5;20;5;11,67;10;10;5;13,33;5;16,33;10;20;12;5;5;5;8;5;5
"Dobby Roobe";"8.0";"Tokyo S.C.";"GK";14;1260;95,5;0;0;0;0;0;0;0;0;430;504;1199,47;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;2;0;0;0;0;0;0;0;7,17;14;14;7;16;14,57;12,14;6;13;11;14;15;5;5;15,79;5;5;5;5;8;5;5;13,79;5;5;9;5;5;5;5;20;5;15,36;10;10;5;14;5;17;10;20;12;5;5;5;8;5;5
"Dobby Roobe";"9.0";"Tokyo S.C.";"GK";14;1260;97,9;0;0;0;0;0;0;0;0;341;397;1227,08;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;5;0;0;0;0;0;0;0;6,99;14;14;7;16,43;15,43;13;6;13;11;14;15;5;5;16,43;5;5;5;5;8;5;5;14;5;5;9;5;5;5;5;20;5;16,43;10;10;5;14;5;17,43;10;20;12;5;5;5;8;5;5
"Dogwood Maple";"10.0";"CF Catalunya";"AM (RL), ST (C)";14;1260;182,6;3;5;5;8,97;24;60;2;1;331;424;1101,88;34;12;48;199,02;16;94;182;669,03;5;22;9;14;550;0;9;23;0;2;0;22;15;18;7,25;18;5;5;15;17,43;15;5;5;5;17,43;10;5;5;16,86;5;12;5;18;15;13;5;5;14,43;15;5;5;13;5;5;20;16,07;5;16;10;10;5;5;5;5;20;15;5;7;16;5;10;12
"Dogwood Maple";"11.0";"CF Catalunya";"AM (RL), ST (C)";14;1260;184,6;1;7;4;6,76;23;47;1;1;479;591;1125,14;24;3;25;164,29;8;157;272;759,05;4;19;4;5;266,67;0;9;39;0;0;0;16;16;15;7,21;18;5;5;15;18;15;5;5;5;18;10;5;5;18;5;13,36;5;18;15,21;13;5;5;15;15,57;5;5;13;5;5;20;18;5;16;10;10;5;5;5;5;20;15,57;5;8,14;17,14;5;10;12
"Dogwood Maple";"12.0";"CF Catalunya";"AM (RL), ST (C)";14;1260;186,8;2;5;4;6,62;28;55;0;0;486;608;1113,22;20;3;30;100;4;92;167;770,88;3;38;7;11;516,67;0;17;27;0;0;0;19;18;17;7;18;5;5;15;18;15;5;5;5;18;12,86;5;5;18;5;15;5;18;16;13;5;5;15;16;5;5;13;5;5;20;18;5;16;11,43;10;5;5;5;5;20;16;5;9;18;5;10;12
"Dogwood Maple";"4.0";"CF Catalunya";"AM (C), ST (C)";18;1620;214,5;1;9;2;13,54;27;61;6;3;373;459;1530,56;22;6;24;260;9;39;142;520,53;0;19;1;2;100;0;7;6;0;0;0;32;23;32;6,97;16;5;5;6,84;10;7;5;5;5;10,68;5;5;5;12;5;10;5;20;10;5;5;5;7;6;5;5;8,21;5;5;20;12,21;5;13,42;9,11;10;5;5;5;5;20;8;5;7;10,21;5;7,58;10
"Dogwood Maple";"5.0";"CF Catalunya";"AM (RL), ST (C)";12;1080;171,9;1;5;0;4,39;13;31;0;0;376;457;1161,33;16;11;25;230,36;7;28;68;530,72;0;18;8;11;350;0;17;8;0;1;0;5;10;3;6,92;17;5;5;12;15;7,57;5;5;5;14,71;5;5;5;13;5;11,86;5;16;13;7,21;5;5;7;6,5;5;5;10;5;5;20;15;5;14;10;10;5;5;5;5;20;8,43;5;7;13;5;10;12
"Dogwood Maple";"6.0";"CF Catalunya";"AM (RL), ST (C)";13;1170;170,2;1;7;4;7,57;16;37;2;1;264;317;1166,11;13;3;28;76,67;7;33;93;563,04;1;18;8;11;566,67;0;15;13;0;0;0;19;4;16;7,09;17;5;5;12;15;10;5;5;5;16;5;5;5;13,93;5;12;5;17,71;13;8;5;5;7;9;5;5;10;5;5;20;15,21;5;14;10;10;5;5;5;5;20;10;5;7;15,57;5;10;12
"Dogwood Maple";"7.0";"CF Catalunya";"AM (RL), ST (C)";14;1260;175,7;1;10;2;5,84;25;41;0;0;315;379;1151,13;17;2;12;66,67;4;49;138;532,7;0;10;6;10;450;0;7;15;0;0;0;18;7;15;7,1;17;5;5;12;15;10;5;5;5;16;5;5;5;16;5;12;5;18;13;8;5;5;11,29;12,71;5;5;10;5;5;20;16;5;14,29;10;10;5;5;5;5;20;10;5;7;16;5;10;12
"Dogwood Maple";"8.0";"CF Catalunya";"AM (RL), ST (C)";14;1260;181,2;0;4;2;7,19;22;39;1;1;243;305;1102,17;13;5;19;400;5;64;146;617,68;2;15;5;9;233,33;0;8;18;0;0;0;16;9;13;6,77;17,79;5;5;13,71;15;13;5;5;5;16;5;5;5;16;5;12;5;18;13;12,64;5;5;13;13;5;5;12,93;5;5;20;16;5;16;10;10;5;5;5;5;20;10;5;7;16;5;10;12
"Dogwood Maple";"9.0";"CF Catalunya";"AM (RL), ST (C)";12,5;1125;157,1;1;11;0;8,42;22;43;4;4;244;300;1150,45;12;5;21;216,66;3;71;152;622,29;1;13;8;11;600;0;9;19;0;0;0;15;14;15;7,11;17,86;5;5,5;14,71;15;14,64;5,57;5;5;15,57;6;5;5;16;5,36;11,5;5;17,07;12,79;12,43;5;5;13,29;15,07;5;5;12,43;5;5,86;20;15,21;5;16;10;9,64;5,86;5;5;5;20;13,71;5,93;7,43;15,57;5;10;12,07
"Dolores Clifton";"12.0";"Athênai F.C.";"D (LC), M (C)";6;540;58,4;0;0;0;0,05;1;1;0;0;468;481;581,26;0;0;0;NA;0;12;35;192,62;0;0;4;7;233,33;1;7;50;1;1;0;3;0;0;6,17;5;5;13;5;10;5;7;5;5;10;10;5;5;10;5;9;5;5;5;5;5;5;6;5;5;12;5;5;13;20;5;5;5;5;5;7;5;5;5;20;5;20;9;5;5;5;5
"Dombrofski Maximiliano";"11.0";"Schwarzwälder FV";"D (R), DM, M (C)";3;270;43,3;0;0;0;0,23;1;2;0;0;198;218;361,67;6;3;3;200;0;18;20;333,34;2;1;4;6;250;0;6;9;0;1;0;3;1;1;6,8;13;5;13;10;13;10;10;5;5;10;11;5;9;12;8;8,5;5;8;9;7,5;5;5;10;16;5;5;7;5;13;20;10;5;13;15,5;5;11,5;5;5;5;20;12;12;10;10;5;13;13
"Dombrofski Maximiliano";"12.0";"Montréal United";"D (R), DM, M (C)";14;1260;203,5;0;1;1;1,18;5;15;0;0;663;748;1240,17;16;5;25;148,57;1;74;97;1108,07;13;13;33;42;1143,34;0;21;55;1;3;0;20;4;1;6,94;14,86;5;13;10;13,93;10;10;5;5;13;11;5;9;13;10;9;5;8,29;10;10;5;5;12;16;5;5;7;5;13;20;11,14;5;13;16;5;13;5;5;5;20;12;12;10;13;5;13,29;14,86
